rank,name,ticker,marketcap_usd_billions
1,EXXON MOBIL CP,XOM,446
2,GEN ELECTRIC,GE,383
3,TOTAL S.A.,TOT,327
4,MICROSOFT CP,MSFT,293
5,CITIGROUP,C,273
6,PETROCHINA CO ADS,PTR,252
7,BK OF AMERICA CP,BAC,239
8,ROYAL DUTCH SHELL,RDS-B,231
9,BP,BP,221
10,TOYOTA MTR CP ADS,TM,215
11,PROCTER GAMBLE,PG,203
12,WAL MART STORES,WMT,192
13,JOHNSON AND JOHNS DC,JNJ,191
14,PFIZER,PFE,186
15,AMER INTL GROUP,AIG,186
16,ALTRIA GROUP,MO,179
17,CHINA MOBILE LIMITED,CHL,171
18,BERKSHIRE HATH HLD A,BRK-A,169
19,JP MORGAN CHASE,JPM,167
20,CISCO SYS,CSCO,165
21,CHEVRON,CVX,160
22,VODAFONE GRP PLC ADS,VOD,159
23,GLAXOSMITHKLINE,GSK,148
24,INTL BUSINESS MACH,IBM,146
25,HONDA MOTOR CO ADR,HMC,144
26,GOOGLE,GOOG,140
27,AT&T INC.,T,137
28,NOVARTIS AG ADS,NVS,134
29,UBS AG,UBS,126
30,MITSUBISHI UFJ FIN,MTU,125
31,SANOFI-AVENTIS,SNY,124
32,WELLS FARGO & CO NEW,WFC,120
33,CONOCOPHILLIPS,COP,118
34,BHP BILLITON LIMITED,BHP,118
35,INTEL CP,INTC,116
36,BANCO SANTANDER CENT,STD,116
37,COCA COLA CO THE,KO,113
38,PETROLEO BRASILEIRO,PBR,112
39,HEWLETT PACKARD,HPQ,112
40,BHP BILLITON SP ADR,BBL,110
41,VERIZON COMMUN,VZ,108
42,PEPSICO,PEP,102
43,TELEFONICA,TEF,102
44,MERCK,MRK,94
45,BARCLAYS PLC ADR,BCS,94
46,EON AG ADS,EON,90
47,WACHOVIA CP,WB,90
48,GOLDMAN SACHS GRP,GS,89
49,ORACLE,ORCL,88
50,COMCAST CP A,CMCSA,88
51,SIEMENS A G ADR,SI,87
52,TIME WARNER,TWX,86
53,BELLSOUTH CP,BLS,85
54,GENENTECH,DNA,85
55,MORGAN STANLEY,MS,85
56,ASTRAZENECA PLC ADS,AZN,83
57,ALLIANZ SE,AZ,82
58,ML CO CMN STK,MER,82
59,HOME DEPOT,HD,81
60,BANCO BILBAO ARG,BBV,81
61,NOKIA CP ADS,NOK,81
62,AMERICA MOVIL,AMX,81
63,UNITED PARCEL SVC,UPS,80
64,CHINA PETRO & CHEM,SNP,79
65,AMGEN,AMGN,79
66,DEUTSCHE TELE AG ADS,DT,79
67,UNILEVER N V N Y,UN,78
68,AXA ADS,AXA,75
69,CANON INC ADR,CAJ,75
70,CREDIT SUISSE GROUP,CS,75
71,ABBOTT LABORATORIES,ABT,74
72,SCHLUMBERGER,SLB,74
73,AMER EXPRESS,AXP,73
74,APPLE COMPUTER,AAPL,72
75,UNITEDHEALTH GROUP,UNH,72
76,FRANCE TELECOM ADS,FTE,72
77,COMPANHIA VALE ADS,RIO,71
78,WALT DISNEY-DISNEY C,DIS,70
79,RIO TINTO PLC ADS,RTP,70
80,BOEING,BA,70
81,NTT DOCOMO ADS,DCM,69
82,WYETH,WYE,68
83,NEWS CORP CL A,NWS-A,67
84,PRUDENTIAL PLC SC,PUK,67
85,DEUTSCHE BANK,DB,66
86,SUEZ ADS,SZE,66
87,SAP AKTIENGESELL ADS,SAP,66
88,LM ERICSSON ADR,ERIC,63
89,ENEL SOCIETA AZIO,EN,63
90,USB CAP XI,USB,63
91,LLOYDS TSB GRP ADS,LYG,63
92,DAIMLERCHRYSLER,DCX,62
93,UNITED TECH,UTX,62
94,QUALCOMM,QCOM,62
95,MEDTRONIC,MDT,61
96,ABN AMRO HLDG NV ADS,ABN,61
97,ROYAL BANK OF CANADA,RY,60
98,TYCO INTL,TYC,60
99,LILLY ELI,LLY,58
