rank,name,ticker,marketcap_usd_billions
1,GEN ELECTRIC,GE,374
2,EXXON MOBIL CP,XOM,355
3,MICROSOFT CP,MSFT,283
4,CITIGROUP,C,249
5,BP,BP,226
6,ROYAL DUTCH SHELL,RDS-B,216
7,WAL MART STORES,WMT,201
8,BK OF AMERICA CP,BAC,188
9,JOHNSON AND JOHNS DC,JNJ,181
10,AMER INTL GROUP,AIG,176
11,PFIZER,PFE,176
12,TOYOTA MTR CP ADS,TM,168
13,TOTAL S.A.,TOT,158
14,ALTRIA GROUP,MO,158
15,INTEL CP,INTC,156
16,GLAXOSMITHKLINE,GSK,144
17,PETROCHINA CO ADS,PTR,144
18,JP MORGAN CHASE,JPM,140
19,PROCTER GAMBLE,PG,140
20,BERKSHIRE HATH HLD A,BRK-A,136
21,VODAFONE GRP PLC ADS,VOD,136
22,INTL BUSINESS MACH,IBM,131
23,CHEVRON,CVX,128
24,GOOGLE,GOOG,127
25,SANOFI-AVENTIS,SNY,120
26,NOVARTIS AG ADS,NVS,120
27,WELLS FARGO & CO NEW,WFC,107
28,CISCO SYS,CSCO,106
29,E N I SPA ADR,E,105
30,UBS AG,UBS,101
31,CHINA MOBILE HGK,CHL,100
32,BHP BILLITON LIMITED,BHP,100
33,AMGEN,AMGN,99
34,GENENTECH,DNA,99
35,PEPSICO,PEP,98
36,COCA COLA CO THE,KO,97
37,BHP BILLITON SP ADR,BBL,97
38,HOME DEPOT,HD,88
39,UNITED PARCEL SVC,UPS,85
40,VERIZON COMMUN,VZ,84
41,WACHOVIA CP,WB,83
42,BANCO SANTANDER CENT,STD,82
43,TIME WARNER,TWX,82
44,HEWLETT PACKARD,HPQ,82
45,CONOCOPHILLIPS,COP,82
46,AT&T INC.,T,80
47,UNITEDHEALTH GROUP,UNH,80
48,NOKIA CP ADS,NOK,79
49,ASTRAZENECA PLC ADS,AZN,78
50,PETROLEO BRASILEIRO,PBR,77
51,SIEMENS A G ADR,SI,76
52,DELL,DELL,73
53,TELEFONICA,TEF,73
54,QUALCOMM,QCOM,72
55,SPRINT NXTEL CP,S,70
56,MERCK,MRK,70
57,EON AG ADS,EON,69
58,NTT DOCOMO ADS,DCM,69
59,DEUTSCHE TELE AG ADS,DT,69
60,MEDTRONIC,MDT,69
61,BARCLAYS PLC ADR,BCS,68
62,UNILEVER N V N Y,UN,67
63,LILLY ELI,LLY,65
64,UNILEVER PLC AMER,UL,65
65,AMER EXPRESS,AXP,64
66,WYETH,WYE,63
67,ORACLE,ORCL,63
68,ABBOTT LABORATORIES,ABT,63
69,MORGAN STANLEY,MWD,63
70,ML CO CMN STK,MER,63
71,RIO TINTO PLC ADS,RTP,62
72,AXA ADS,AXA,62
73,EBAY,EBAY,62
74,APPLE COMPUTER,AAPL,61
75,FRANCE TELECOM ADS,FTE,61
76,BANCO BILBAO ARG,BBV,60
77,ALLIANZ AKTIENGESELL,AZ,59
78,3M COMPANY,MMM,59
79,TYCO INTL,TYC,59
80,SCHLUMBERGER,SLB,59
81,MOTOROLA,MOT,58
82,UNITED TECH,UTX,58
83,GOLDMAN SACHS GRP,GS,57
84,BOEING,BA,57
85,YAHOO,YHOO,57
86,COMCAST CP A,CMCSA,57
87,SAP AKTIENGESELL ADS,SAP,56
88,US BANCORP,USB,56
89,CREDIT SUISSE GROUP,CSR,55
90,HONDA MOTOR CO ADR,HMC,54
91,LM ERICSSON ADR,ERICY,54
92,AMERICA MOVIL,AMX,53
93,TEXAS INSTRUMENTS,TXN,53
94,CANON INC ADR,CAJ,53
95,LOWES COMPANIES,LOW,52
96,VIACOM INC CL B,VIA-B,51
97,DAIMLERCHRYSLER,DCX,51
98,NEWS CORP CL A,NWS-A,51
99,BELLSOUTH CP,BLS,50
100,ROYAL BANK OF CANADA,RY,49
