rank,name,ticker,marketcap_usd_billions
1,General Electric,GE,389
2,Exxon Mobil,XOM,330
3,Microsoft,MSFT,293
4,Citigroup,C,250
5,Wal-Mart Stores,WMT,224
6,BP,BP,216
7,Pfizer,PFE,195
8,Bank of America,BAC,189
9,Johnson & Johnson,JNJ,187
10,HSBC Holdings,HBC,186
11,Vodafone Group,VOD,184
12,American Intnl Group,AIG,171
13,Intnl Business Machines,IBM,162
14,Intel,INTC,148
15,Procter & Gamble,PG,141
16,JPMorgan Chase,JPM,139
17,Total,TOT,135
18,GlaxoSmithKline,GSK,132
19,Toyota Motor,TM,129
20,Cisco Systems,CSCO,127
21,Altria Group,MO,125
22,Novartis,NVS,119
23,Verizon Comm,VZ,113
24,Royal Dutch Petroleum Company,RD,113
25,ChevronTexaco,CVX,110
26,Wells Fargo,WFC,105
27,Dell,DELL,103
28,Coca-Cola Co (Coke),KO,100
29,ENI,E,99
30,United Parcel Service,UPS,97
31,PetroChina,PTR,94
32,Roche Holding,RHHBY.PK,93
33,Home Depot,HD,93
34,Banco Santander Central Hispano,STD,93
35,Deutsche Telekom,DT,92
36,Time Warner,TWX,87
37,Pepsico,PEP,87
38,SBC Comm,SBC,86
39,Wachovia Corp (Charlotte),WB,84
40,NTT DoCoMo,DCM,83
41,Amgen,AMGN,80
42,Shell Transport & Trading Company,SC,79
43,France Telecom,FTE,79
44,eBay,EBAY,75
45,Siemens,SI,73
46,Aventis,AVE,73
47,BHP Billiton,BHP,73
48,Qualcomm,QCOM,72
49,Abbott Laboratories,ABT,72
50,BHP Billiton,BBL,72
51,Tyco Intnl,TYC,72
52,Barclays,BCS,71
53,Oracle,ORCL,71
54,Merck,MRK,71
55,American Express,AXP,71
56,Nokia Oyj,NOK,71
57,Comcast,CMCSA,70
58,Fannie Mae,FNM,69
59,Nippon Telegraph and Telephone,NTT,68
60,China Mobile (Hong Kong),CHL,67
61,Eli Lilly,LLY,64
62,Hewlett-Packard,HPQ,64
63,Telecom Italia,TI,63
64,3M,MMM,63
65,Mitsubishi Tokyo Financial Group,MTF,62
66,AstraZeneca,AZN,60
67,ConocoPhillips,COP,59
68,Kraft Foods,KFT,59
69,US Bancorp,USB,58
70,ENEL - Ente Nazionale per l'Energia Elettrica,EN,58
71,Banco Bilbao Vizcaya Argentaria,BBV,58
72,Medtronic,MDT,58
73,Sanofi-Aventis,SNY,57
74,Wyeth,WYE,56
75,News Corporation,NWS,56
76,Walt Disney,DIS,56
77,UnitedHealth Group,UNH,55
78,E.ON,EON,55
79,Merrill Lynch,MER,55
80,SAP,SAP,54
81,Genentech,DNA,54
82,Telefonica Moviles,TEM,54
83,United Technologies,UTX,53
84,BellSouth,BLS,51
85,Lloyds TSB Group,LYG,51
86,Yahoo!,YHOO,51
87,Google,GOOG,50
88,Telefon AB LM Ericsson,ERICY,50
89,Goldman Sachs Group,GS,50
90,Freddie Mac,FRE,49
91,Bristol-Myers Squibb,BMY,49
92,Carnival,CUK,49
93,Carnival,CCL,48
94,DuPont,DD,48
95,DaimlerChrysler,DCX,48
96,Dow Chemical,DOW,47
97,Telstra Corporation,TLS,47
98,Honda Motor,HMC,47
99,Tesco,TSCDY.PK,47
100,Canon,CAJ,46
